# Started logging at 2018-11-29T11:47:27.051759
time, face index, event
0, -1, wait
# Started logging at 2018-11-29T11:48:08.185427
# Started logging at 2018-11-29T11:48:08.185427
time, face index, event
time, face index, event
15, 11, delamination
15, 102, delamination
15, 102, delamination
15, 102, delamination
15, 26, delamination
15, 26, delamination
15, 26, delamination
15, 21, delamination
15, 21, delamination
15, 21, delamination
15, 25, delamination
15, 25, delamination
15, 25, delamination
15, 22, delamination
15, 22, delamination
15, 22, delamination
15, 146, delamination
15, 146, delamination
15, 146, delamination
15, 40, delamination
15, 40, delamination
15, 40, delamination
16, 10, delamination
16, 10, delamination
16, 10, delamination
16, 26, delamination
16, 26, delamination
16, 26, delamination
16, 24, delamination
16, 24, delamination
16, 24, delamination
16, 11, delamination
16, 11, delamination
16, 11, delamination
16, 20, delamination
16, 20, delamination
16, 20, delamination
16, 21, delamination
16, 21, delamination
16, 21, delamination
16, 146, delamination
16, 146, delamination
16, 146, delamination
16, 22, delamination
16, 22, delamination
16, 22, delamination
16, 167, delamination
16, 167, delamination
16, 167, delamination
16, 25, delamination
16, 25, delamination
16, 25, delamination
16, 40, delamination
16, 40, delamination
16, 40, delamination
16, 102, delamination
16, 102, delamination
16, 102, delamination
17, 25, delamination
17, 25, delamination
17, 25, delamination
17, 10, delamination
17, 10, delamination
17, 10, delamination
17, 11, delamination
17, 11, delamination
17, 11, delamination
17, 20, delamination
17, 20, delamination
17, 20, delamination
17, 146, delamination
17, 146, delamination
17, 146, delamination
17, 21, delamination
17, 21, delamination
17, 21, delamination
17, 102, delamination
17, 102, delamination
17, 102, delamination
17, 26, delamination
17, 26, delamination
17, 26, delamination
17, 40, delamination
17, 40, delamination
17, 40, delamination
17, 167, delamination
17, 167, delamination
17, 167, delamination
18, 21, delamination
18, 21, delamination
18, 21, delamination
18, 20, delamination
18, 20, delamination
18, 20, delamination
18, 102, delamination
18, 102, delamination
18, 102, delamination
18, 11, delamination
18, 11, delamination
18, 11, delamination
18, 26, delamination
18, 26, delamination
18, 26, delamination
18, 10, delamination
18, 10, delamination
18, 10, delamination
18, 40, delamination
18, 40, delamination
18, 40, delamination
18, 12, delamination
18, 12, delamination
18, 12, delamination
18, 167, delamination
18, 167, delamination
18, 167, delamination
18, 25, delamination
18, 25, delamination
18, 25, delamination
19, 26, delamination
19, 26, delamination
19, 26, delamination
19, 21, delamination
19, 21, delamination
19, 21, delamination
19, 20, delamination
19, 20, delamination
19, 20, delamination
19, 102, delamination
19, 102, delamination
19, 102, delamination
19, 25, delamination
19, 25, delamination
19, 25, delamination
19, 167, delamination
19, 167, delamination
19, 167, delamination
19, 10, delamination
19, 10, delamination
19, 10, delamination
19, 12, delamination
19, 12, delamination
19, 12, delamination
20, 10, delamination
20, 10, delamination
20, 10, delamination
20, 102, delamination
20, 102, delamination
20, 102, delamination
20, 25, delamination
20, 25, delamination
20, 25, delamination
20, 12, delamination
20, 12, delamination
20, 12, delamination
20, 26, delamination
20, 26, delamination
20, 26, delamination
20, 20, delamination
20, 20, delamination
20, 20, delamination
20, 21, delamination
20, 21, delamination
20, 21, delamination
20, 167, delamination
20, 167, delamination
20, 167, delamination
21, 12, delamination
21, 12, delamination
21, 12, delamination
21, 25, delamination
21, 25, delamination
21, 25, delamination
21, 20, delamination
21, 20, delamination
21, 20, delamination
21, 10, delamination
21, 10, delamination
21, 10, delamination
21, 167, delamination
21, 167, delamination
21, 167, delamination
21, 21, delamination
21, 21, delamination
21, 21, delamination
21, 26, delamination
21, 26, delamination
